,,Calc_Instant_Hum_1m,,Calc_Instant_Hum_1m,,Calc_Instant_Hum_1m,,Calc_Instant_Lluvia_1m,,Calc_Instant_Temp_1m,,Calc_Instant_Temp_1m,,Calc_Instant_Temp_1m,,Calc_Instant_PBaro1_1m,,Calc_Instant_PBaro1_1m,,Calc_Instant_PBaro1_1m,
time,status,Avg,status,Max,status,Min,status,Sum,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,
12/12/16 12:30:06 AM,VALID,98.27,VALID,98.271,VALID,98.267,VALID,0.0,VALID,5.16,VALID,5.174,VALID,5.144,VALID,647.844,VALID,647.863,VALID,647.809,
12/12/16 12:31:06 AM,VALID,98.265,VALID,98.276,VALID,98.243,VALID,0.0,VALID,5.156,VALID,5.161,VALID,5.149,VALID,647.842,VALID,647.854,VALID,647.823,
12/12/16 12:32:06 AM,VALID,98.26,VALID,98.274,VALID,98.234,VALID,0.0,VALID,5.172,VALID,5.176,VALID,5.168,VALID,647.858,VALID,647.877,VALID,647.823,
12/12/16 12:33:06 AM,VALID,98.296,VALID,98.311,VALID,98.274,VALID,0.0,VALID,5.183,VALID,5.188,VALID,5.177,VALID,647.857,VALID,647.877,VALID,647.842,
12/12/16 12:34:06 AM,VALID,98.242,VALID,98.273,VALID,98.21,VALID,0.0,VALID,5.163,VALID,5.172,VALID,5.158,VALID,647.91,VALID,647.916,VALID,647.907,
12/12/16 12:35:06 AM,VALID,98.285,VALID,98.301,VALID,98.276,VALID,0.0,VALID,5.164,VALID,5.167,VALID,5.16,VALID,647.909,VALID,647.929,VALID,647.882,
12/12/16 12:36:06 AM,VALID,98.275,VALID,98.275,VALID,98.274,VALID,0.0,VALID,5.161,VALID,5.171,VALID,5.153,VALID,647.932,VALID,647.944,VALID,647.918,
12/12/16 12:37:06 AM,VALID,98.253,VALID,98.273,VALID,98.243,VALID,0.0,VALID,5.103,VALID,5.111,VALID,5.097,VALID,647.956,VALID,647.992,VALID,647.936,
12/12/16 12:38:06 AM,VALID,98.26,VALID,98.275,VALID,98.238,VALID,0.0,VALID,5.086,VALID,5.089,VALID,5.081,VALID,647.979,VALID,647.998,VALID,647.966,
12/12/16 12:39:06 AM,VALID,98.253,VALID,98.276,VALID,98.241,VALID,0.0,VALID,5.089,VALID,5.093,VALID,5.085,VALID,647.972,VALID,647.989,VALID,647.956,
12/12/16 12:40:06 AM,VALID,98.263,VALID,98.275,VALID,98.241,VALID,0.0,VALID,5.073,VALID,5.08,VALID,5.067,VALID,647.979,VALID,647.997,VALID,647.968,
12/12/16 12:41:06 AM,VALID,98.264,VALID,98.28,VALID,98.237,VALID,0.0,VALID,5.101,VALID,5.103,VALID,5.097,VALID,647.983,VALID,647.995,VALID,647.97,
12/12/16 12:42:06 AM,VALID,98.311,VALID,98.312,VALID,98.31,VALID,0.0,VALID,5.1,VALID,5.104,VALID,5.096,VALID,647.962,VALID,647.98,VALID,647.939,
12/12/16 12:43:06 AM,VALID,98.296,VALID,98.312,VALID,98.269,VALID,0.0,VALID,5.101,VALID,5.106,VALID,5.096,VALID,647.955,VALID,647.967,VALID,647.943,
12/12/16 12:44:06 AM,VALID,98.309,VALID,98.313,VALID,98.304,VALID,0.0,VALID,5.109,VALID,5.114,VALID,5.101,VALID,647.969,VALID,647.973,VALID,647.967,
12/12/16 12:45:06 AM,VALID,98.308,VALID,98.313,VALID,98.3,VALID,0.0,VALID,5.115,VALID,5.121,VALID,5.109,VALID,647.964,VALID,647.978,VALID,647.949,
12/12/16 12:46:06 AM,VALID,98.32,VALID,98.344,VALID,98.305,VALID,0.0,VALID,5.129,VALID,5.134,VALID,5.122,VALID,647.971,VALID,647.978,VALID,647.965,
12/12/16 12:47:06 AM,VALID,98.332,VALID,98.345,VALID,98.313,VALID,0.0,VALID,5.136,VALID,5.139,VALID,5.133,VALID,647.985,VALID,648.004,VALID,647.961,
