Date Time Precipitaciòn
05/12/17 11:24:26 0 Start
09/12/17 16:59:47 0.1
09/12/17 17:01:56 0.2
09/12/17 17:03:07 0.3
09/12/17 17:04:33 0.4
09/12/17 17:05:31 0.5
09/12/17 17:06:59 0.6
09/12/17 17:08:46 0.7
09/12/17 17:09:44 0.8
09/12/17 17:11:32 0.9
09/12/17 17:22:31 1
09/12/17 17:23:39 1.1
09/12/17 17:24:09 1.2
09/12/17 17:24:35 1.3
09/12/17 17:25:01 1.4
09/12/17 17:25:49 1.5
09/12/17 17:26:38 1.6
09/12/17 17:26:59 1.7
09/12/17 17:27:11 1.8
09/12/17 17:27:21 1.9
09/12/17 17:27:28 2
09/12/17 17:27:34 2.1
09/12/17 17:27:42 2.2
09/12/17 17:27:48 2.3
09/12/17 17:27:57 2.4
09/12/17 17:28:10 2.5
09/12/17 17:28:25 2.6
09/12/17 17:28:38 2.7
09/12/17 17:28:53 2.8
09/12/17 17:29:10 2.9
09/12/17 17:29:35 3
09/12/17 17:30:12 3.1
09/12/17 17:31:03 3.2
09/12/17 17:32:07 3.3
09/12/17 17:34:10 3.4
09/12/17 17:40:42 3.5
09/12/17 17:42:52 3.6
09/12/17 17:44:50 3.7
09/12/17 17:45:59 3.8
09/12/17 17:46:36 3.9
09/12/17 17:46:56 4
09/12/17 17:47:09 4.1
09/12/17 17:47:21 4.2
09/12/17 17:47:33 4.3
09/12/17 17:47:47 4.4
09/12/17 17:47:58 4.5
09/12/17 17:48:10 4.6
09/12/17 17:48:17 4.7
09/12/17 17:48:24 4.8
09/12/17 17:48:32 4.9
09/12/17 17:48:41 5
09/12/17 17:48:47 5.1
09/12/17 17:48:54 5.2
09/12/17 17:49:05 5.3
09/12/17 17:49:11 5.4
09/12/17 17:49:18 5.5
09/12/17 17:49:26 5.6
09/12/17 17:49:44 5.7
09/12/17 17:49:59 5.8
09/12/17 17:50:08 5.9
09/12/17 17:50:17 6
09/12/17 17:50:27 6.1
09/12/17 17:50:34 6.2
09/12/17 17:50:43 6.3
09/12/17 17:50:53 6.4
09/12/17 17:51:03 6.5
09/12/17 17:51:09 6.6
09/12/17 17:51:18 6.7
09/12/17 17:51:25 6.8
09/12/17 17:51:31 6.9
09/12/17 17:51:40 7
09/12/17 17:51:46 7.1
09/12/17 17:51:56 7.2
09/12/17 17:52:03 7.3
09/12/17 17:52:10 7.4
09/12/17 17:52:18 7.5
09/12/17 17:52:25 7.6
09/12/17 17:52:34 7.7
09/12/17 17:52:43 7.8
09/12/17 17:52:52 7.9
09/12/17 17:53:02 8
09/12/17 17:53:12 8.1
09/12/17 17:53:21 8.2
09/12/17 17:53:28 8.3
09/12/17 17:53:35 8.4
09/12/17 17:53:41 8.5
09/12/17 17:53:47 8.6
09/12/17 17:53:58 8.7
09/12/17 17:54:08 8.8
09/12/17 17:54:17 8.9
09/12/17 17:54:23 9
09/12/17 17:54:30 9.1
09/12/17 17:54:36 9.2
09/12/17 17:54:43 9.3
09/12/17 17:54:49 9.4
09/12/17 17:54:56 9.5
09/12/17 17:55:03 9.6
09/12/17 17:55:12 9.7
09/12/17 17:55:20 9.8
09/12/17 17:55:30 9.9
09/12/17 17:55:37 10
09/12/17 17:55:49 10.1
09/12/17 17:55:58 10.2
09/12/17 17:56:07 10.3
09/12/17 17:56:17 10.4
09/12/17 17:56:27 10.5
09/12/17 17:56:40 10.6
09/12/17 17:56:54 10.7
09/12/17 17:57:02 10.8
09/12/17 17:57:14 10.9
09/12/17 17:57:24 11
09/12/17 17:57:39 11.1
09/12/17 17:57:51 11.2
09/12/17 17:58:02 11.3
09/12/17 17:58:10 11.4
09/12/17 17:58:19 11.5
09/12/17 17:58:27 11.6
09/12/17 17:58:35 11.7
09/12/17 17:58:41 11.8
09/12/17 17:58:50 11.9
09/12/17 17:58:56 12
09/12/17 17:59:04 12.1
09/12/17 17:59:11 12.2
09/12/17 17:59:17 12.3
09/12/17 17:59:27 12.4
09/12/17 17:59:38 12.5
09/12/17 17:59:44 12.6
09/12/17 17:59:49 12.7
09/12/17 17:59:55 12.8
09/12/17 18:00:02 12.9
09/12/17 18:00:08 13
09/12/17 18:00:16 13.1
09/12/17 18:00:24 13.2
09/12/17 18:00:34 13.3
09/12/17 18:00:41 13.4
09/12/17 18:00:48 13.5
09/12/17 18:00:54 13.6
09/12/17 18:01:00 13.7
09/12/17 18:01:06 13.8
09/12/17 18:01:15 13.9
09/12/17 18:01:22 14
09/12/17 18:01:29 14.1
09/12/17 18:01:35 14.2
09/12/17 18:01:42 14.3
09/12/17 18:01:49 14.4
09/12/17 18:01:57 14.5
09/12/17 18:02:02 14.6
09/12/17 18:02:09 14.7
09/12/17 18:02:15 14.8
09/12/17 18:02:22 14.9
09/12/17 18:02:29 15
09/12/17 18:02:37 15.1
09/12/17 18:02:43 15.2
09/12/17 18:02:48 15.3
09/12/17 18:02:54 15.4
09/12/17 18:03:00 15.5
09/12/17 18:03:06 15.6
09/12/17 18:03:13 15.7
09/12/17 18:03:22 15.8
09/12/17 18:03:29 15.9
09/12/17 18:03:36 16
09/12/17 18:03:42 16.1
09/12/17 18:03:51 16.2
09/12/17 18:03:59 16.3
09/12/17 18:04:07 16.4
09/12/17 18:04:16 16.5
09/12/17 18:04:25 16.6
09/12/17 18:04:36 16.7
09/12/17 18:04:42 16.8
09/12/17 18:04:50 16.9
09/12/17 18:04:57 17
09/12/17 18:05:07 17.1
09/12/17 18:05:14 17.2
09/12/17 18:05:23 17.3
09/12/17 18:05:31 17.4
09/12/17 18:05:39 17.5
09/12/17 18:05:46 17.6
09/12/17 18:05:55 17.7
09/12/17 18:06:04 17.8
09/12/17 18:06:14 17.9
09/12/17 18:06:22 18
09/12/17 18:06:32 18.1
09/12/17 18:06:41 18.2
09/12/17 18:06:57 18.3
09/12/17 18:07:10 18.4
09/12/17 18:07:25 18.5
09/12/17 18:07:37 18.6
09/12/17 18:07:51 18.7
09/12/17 18:08:03 18.8
09/12/17 18:08:19 18.9
09/12/17 18:08:34 19
09/12/17 18:08:55 19.1
09/12/17 18:09:10 19.2
09/12/17 18:09:28 19.3
09/12/17 18:09:44 19.4
09/12/17 18:10:07 19.5
09/12/17 18:10:23 19.6
09/12/17 18:10:58 19.7
09/12/17 18:11:39 19.8
09/12/17 18:13:02 19.9
09/12/17 18:16:14 20
10/12/17 19:44:01 20.1
10/12/17 19:49:17 20.2
10/12/17 19:56:33 20.3
10/12/17 19:57:16 20.4
10/12/17 19:57:56 20.5
10/12/17 19:58:28 20.6
10/12/17 19:59:31 20.7
10/12/17 20:00:43 20.8
10/12/17 20:02:02 20.9
10/12/17 20:02:44 21
10/12/17 20:03:28 21.1
10/12/17 20:03:56 21.2
10/12/17 20:04:27 21.3
10/12/17 20:04:50 21.4
10/12/17 20:05:18 21.5
10/12/17 20:05:40 21.6
10/12/17 20:06:07 21.7
10/12/17 20:06:25 21.8
10/12/17 20:06:47 21.9
10/12/17 20:07:05 22
10/12/17 20:07:27 22.1
10/12/17 20:07:46 22.2
10/12/17 20:08:08 22.3
10/12/17 20:08:26 22.4
10/12/17 20:08:49 22.5
10/12/17 20:09:09 22.6
10/12/17 20:09:32 22.7
10/12/17 20:09:55 22.8
10/12/17 20:10:25 22.9
10/12/17 20:10:50 23
10/12/17 20:11:29 23.1
10/12/17 20:11:57 23.2
10/12/17 20:12:38 23.3
10/12/17 20:13:08 23.4
10/12/17 20:13:43 23.5
10/12/17 20:14:13 23.6
10/12/17 20:14:51 23.7
10/12/17 20:15:18 23.8
10/12/17 20:15:49 23.9
10/12/17 20:16:12 24
10/12/17 20:16:38 24.1
10/12/17 20:16:58 24.2
10/12/17 20:17:20 24.3
10/12/17 20:17:37 24.4
10/12/17 20:17:54 24.5
10/12/17 20:18:07 24.6
10/12/17 20:18:24 24.7
10/12/17 20:18:38 24.8
10/12/17 20:18:58 24.9
10/12/17 20:19:15 25
10/12/17 20:19:37 25.1
10/12/17 20:19:55 25.2
10/12/17 20:20:20 25.3
10/12/17 20:20:41 25.4
10/12/17 20:21:10 25.5
10/12/17 20:21:41 25.6
10/12/17 20:22:27 25.7
10/12/17 20:22:58 25.8
10/12/17 20:23:44 25.9
10/12/17 20:24:40 26
10/12/17 20:25:55 26.1
10/12/17 20:27:03 26.2
10/12/17 20:28:10 26.3
10/12/17 20:28:42 26.4
10/12/17 20:29:12 26.5
10/12/17 20:29:36 26.6
10/12/17 20:30:16 26.7
10/12/17 20:30:52 26.8
10/12/17 20:31:38 26.9
10/12/17 20:32:08 27
10/12/17 20:32:46 27.1
10/12/17 20:33:14 27.2
10/12/17 20:33:50 27.3
10/12/17 20:34:21 27.4
10/12/17 20:34:56 27.5
10/12/17 20:35:26 27.6
10/12/17 20:36:22 27.7
10/12/17 20:37:24 27.8
10/12/17 20:38:21 27.9
10/12/17 20:39:11 28
10/12/17 20:40:36 28.1
10/12/17 20:41:51 28.2
10/12/17 20:43:31 28.3
10/12/17 20:44:47 28.4
10/12/17 20:46:27 28.5
10/12/17 20:47:48 28.6
10/12/17 20:49:56 28.7
10/12/17 20:51:45 28.8
10/12/17 20:54:30 28.9
10/12/17 20:56:40 29
10/12/17 20:57:47 29.1
10/12/17 20:58:30 29.2
10/12/17 20:59:12 29.3
10/12/17 20:59:47 29.4
10/12/17 21:00:35 29.5
10/12/17 21:01:25 29.6
10/12/17 21:02:35 29.7
10/12/17 21:03:30 29.8
10/12/17 21:04:53 29.9
10/12/17 21:06:11 30
10/12/17 21:08:04 30.1
10/12/17 21:09:57 30.2
10/12/17 21:12:52 30.3
10/12/17 21:15:08 30.4
10/12/17 21:17:20 30.5
10/12/17 21:19:18 30.6
10/12/17 21:22:46 30.7
10/12/17 21:25:39 30.8
10/12/17 21:29:01 30.9
10/12/17 21:31:34 31
10/12/17 21:34:26 31.1
10/12/17 21:36:35 31.2
10/12/17 21:38:25 31.3
10/12/17 21:39:52 31.4
10/12/17 21:41:38 31.5
10/12/17 21:42:48 31.6
10/12/17 21:44:14 31.7
10/12/17 21:44:58 31.8
10/12/17 21:45:37 31.9
10/12/17 21:45:59 32
10/12/17 21:46:21 32.1
10/12/17 21:46:39 32.2
10/12/17 21:47:01 32.3
10/12/17 21:47:17 32.4
10/12/17 21:47:34 32.5
10/12/17 21:47:48 32.6
10/12/17 21:48:06 32.7
10/12/17 21:48:18 32.8
10/12/17 21:48:34 32.9
10/12/17 21:48:47 33
10/12/17 21:49:03 33.1
10/12/17 21:49:12 33.2
10/12/17 21:49:26 33.3
10/12/17 21:49:39 33.4
10/12/17 21:49:59 33.5
10/12/17 21:50:20 33.6
10/12/17 21:51:01 33.7
10/12/17 21:51:32 33.8
10/12/17 21:52:28 33.9
10/12/17 21:53:27 34
10/12/17 21:54:55 34.1
10/12/17 21:56:21 34.2
10/12/17 21:58:31 34.3
10/12/17 22:01:45 34.4
10/12/17 22:11:20 34.5
10/12/17 22:19:36 34.6
10/12/17 22:29:22 34.7
10/12/17 22:35:02 34.8
10/12/17 22:41:02 34.9
10/12/17 22:44:36 35
10/12/17 22:46:42 35.1
10/12/17 22:48:26 35.2
10/12/17 22:51:11 35.3
10/12/17 22:54:06 35.4
10/12/17 22:59:51 35.5
10/12/17 23:08:03 35.6
11/12/17 00:07:12 35.7
11/12/17 00:10:59 35.8
11/12/17 00:14:05 35.9
11/12/17 00:16:00 36
11/12/17 00:18:30 36.1
11/12/17 00:20:42 36.2
11/12/17 00:25:39 36.3
11/12/17 00:30:12 36.4
11/12/17 00:38:59 36.5
11/12/17 00:42:47 36.6
11/12/17 00:46:08 36.7
11/12/17 00:52:22 36.8
11/12/17 01:17:17 36.9
11/12/17 01:28:13 37
11/12/17 05:38:21 37.1
11/12/17 16:26:55 37.2
11/12/17 16:37:27 37.3
11/12/17 16:40:15 37.4
11/12/17 16:43:27 37.5
11/12/17 16:46:09 37.6
11/12/17 16:50:15 37.7
11/12/17 16:54:00 37.8
11/12/17 17:01:36 37.9
11/12/17 17:13:55 38
11/12/17 18:00:58 38.1
11/12/17 18:04:54 38.2
11/12/17 18:09:15 38.3
11/12/17 18:11:03 38.4
11/12/17 18:13:18 38.5
11/12/17 18:15:41 38.6
11/12/17 18:18:23 38.7
11/12/17 18:20:47 38.8
11/12/17 18:22:26 38.9
11/12/17 18:23:13 39
11/12/17 18:24:14 39.1
11/12/17 18:25:19 39.2
11/12/17 18:26:48 39.3
11/12/17 18:28:41 39.4
11/12/17 18:31:52 39.5
11/12/17 18:35:11 39.6
11/12/17 18:39:41 39.7
11/12/17 18:41:58 39.8
11/12/17 18:45:39 39.9
11/12/17 18:49:32 40
11/12/17 18:59:00 40.1
11/12/17 19:11:16 40.2
11/12/17 19:30:32 40.3
11/12/17 19:39:44 40.4
11/12/17 19:46:14 40.5
11/12/17 19:50:48 40.6
11/12/17 19:58:49 40.7
11/12/17 20:06:03 40.8
11/12/17 20:13:34 40.9
11/12/17 20:18:11 41
11/12/17 20:24:50 41.1
11/12/17 20:30:53 41.2
11/12/17 20:45:24 41.3
11/12/17 23:28:05 41.4
11/12/17 23:31:10 41.5
11/12/17 23:32:51 41.6
11/12/17 23:34:49 41.7
11/12/17 23:36:29 41.8
11/12/17 23:40:22 41.9
11/12/17 23:45:12 42
11/12/17 23:52:20 42.1
12/12/17 00:12:22 42.2
12/12/17 00:31:34 42.3
12/12/17 01:03:54 42.4
12/12/17 01:46:07 42.5
12/12/17 01:47:43 42.6
12/12/17 01:49:52 42.7
12/12/17 01:51:17 42.8
12/12/17 01:52:54 42.9
12/12/17 01:54:13 43
12/12/17 01:55:36 43.1
12/12/17 01:56:28 43.2
12/12/17 01:57:29 43.3
12/12/17 01:58:16 43.4
12/12/17 01:59:14 43.5
12/12/17 01:59:48 43.6
12/12/17 02:00:52 43.7
12/12/17 02:01:50 43.8
12/12/17 02:03:01 43.9
12/12/17 02:04:23 44
12/12/17 02:06:37 44.1
12/12/17 02:10:09 44.2
12/12/17 02:18:12 44.3
12/12/17 02:24:43 44.4
12/12/17 02:34:45 44.5
12/12/17 02:49:14 44.6
12/12/17 03:03:19 44.7
12/12/17 03:28:05 44.8
12/12/17 03:44:33 44.9
12/12/17 03:52:59 45
12/12/17 04:01:23 45.1
12/12/17 04:05:52 45.2
12/12/17 04:15:33 45.3
12/12/17 05:07:40 45.4
24/12/17 21:43:02 45.5
24/12/17 22:25:47 45.6
24/12/17 22:34:30 45.7
24/12/17 22:38:33 45.8
24/12/17 22:40:21 45.9
24/12/17 22:42:18 46
24/12/17 22:44:24 46.1
24/12/17 22:46:46 46.2
24/12/17 23:46:19 46.3
25/12/17 17:53:24 46.4
25/12/17 18:08:45 46.5
25/12/17 18:10:05 46.6
25/12/17 18:11:31 46.7
25/12/17 18:12:51 46.8
25/12/17 18:15:24 46.9
25/12/17 18:27:31 47
25/12/17 18:29:18 47.1
25/12/17 18:31:06 47.2
25/12/17 18:38:47 47.3
25/12/17 18:44:58 47.4
25/12/17 18:54:10 47.5
25/12/17 18:55:02 47.6
25/12/17 18:56:04 47.7
25/12/17 18:57:14 47.8
25/12/17 18:59:19 47.9
25/12/17 19:00:47 48
25/12/17 19:04:27 48.1
25/12/17 19:05:42 48.2
25/12/17 19:07:03 48.3
25/12/17 19:08:29 48.4
25/12/17 19:11:50 48.5
25/12/17 19:12:37 48.6
25/12/17 19:14:20 48.7
25/12/17 19:19:33 48.8
25/12/17 19:26:09 48.9
25/12/17 19:34:51 49
25/12/17 20:25:36 49.1
25/12/17 20:31:17 49.2
25/12/17 20:38:22 49.3
25/12/17 20:45:04 49.4
25/12/17 20:49:18 49.5
25/12/17 20:50:30 49.6
25/12/17 20:51:49 49.7
25/12/17 20:52:52 49.8
25/12/17 20:54:10 49.9
25/12/17 20:55:16 50
25/12/17 20:57:11 50.1
25/12/17 20:58:37 50.2
25/12/17 21:01:47 50.3
25/12/17 21:04:22 50.4
25/12/17 21:07:47 50.5
25/12/17 21:15:01 50.6
25/12/17 22:35:41 50.7
25/12/17 22:41:31 50.8
25/12/17 22:49:56 50.9
25/12/17 23:02:22 51
25/12/17 23:08:22 51.1
25/12/17 23:10:55 51.2
25/12/17 23:13:21 51.3
25/12/17 23:16:06 51.4
25/12/17 23:23:29 51.5
25/12/17 23:30:45 51.6
25/12/17 23:37:32 51.7
25/12/17 23:40:23 51.8
25/12/17 23:42:16 51.9
25/12/17 23:43:15 52
25/12/17 23:44:20 52.1
25/12/17 23:45:18 52.2
25/12/17 23:46:51 52.3
25/12/17 23:48:29 52.4
25/12/17 23:50:07 52.5
25/12/17 23:51:16 52.6
25/12/17 23:52:24 52.7
25/12/17 23:53:14 52.8
25/12/17 23:54:34 52.9
25/12/17 23:55:33 53
25/12/17 23:57:04 53.1
25/12/17 23:58:19 53.2
26/12/17 00:00:58 53.3
26/12/17 00:03:15 53.4
26/12/17 00:08:17 53.5
26/12/17 00:10:47 53.6
26/12/17 00:15:33 53.7
26/12/17 00:49:59 53.8
26/12/17 01:30:22 53.9
26/12/17 01:33:30 54
26/12/17 01:36:48 54.1
26/12/17 01:38:27 54.2
26/12/17 01:42:51 54.3
26/12/17 01:45:16 54.4
26/12/17 01:47:49 54.5
26/12/17 01:51:39 54.6
26/12/17 02:06:18 54.7
26/12/17 02:08:52 54.8
26/12/17 02:12:51 54.9
26/12/17 02:16:18 55
26/12/17 02:17:57 55.1
26/12/17 02:18:44 55.2
26/12/17 02:19:46 55.3
26/12/17 02:20:36 55.4
26/12/17 02:21:56 55.5
26/12/17 02:22:48 55.6
26/12/17 02:23:44 55.7
26/12/17 02:24:19 55.8
26/12/17 02:24:56 55.9
26/12/17 02:25:20 56
26/12/17 02:25:48 56.1
26/12/17 02:26:08 56.2
26/12/17 02:26:37 56.3
26/12/17 02:27:00 56.4
26/12/17 02:27:32 56.5
26/12/17 02:27:56 56.6
26/12/17 02:28:36 56.7
26/12/17 02:29:13 56.8
26/12/17 02:30:16 56.9
26/12/17 02:31:23 57
26/12/17 02:32:51 57.1
26/12/17 02:34:01 57.2
26/12/17 02:35:46 57.3
26/12/17 02:37:06 57.4
26/12/17 02:38:32 57.5
26/12/17 02:39:09 57.6
26/12/17 02:39:48 57.7
26/12/17 02:40:15 57.8
26/12/17 02:40:46 57.9
26/12/17 02:41:07 58
26/12/17 02:41:32 58.1
26/12/17 02:41:51 58.2
26/12/17 02:42:16 58.3
26/12/17 02:42:36 58.4
26/12/17 02:43:02 58.5
26/12/17 02:43:22 58.6
26/12/17 02:43:48 58.7
26/12/17 02:44:09 58.8
26/12/17 02:44:45 58.9
26/12/17 02:45:10 59
26/12/17 02:45:39 59.1
26/12/17 02:46:11 59.2
26/12/17 02:47:21 59.3
26/12/17 02:48:01 59.4
26/12/17 02:48:46 59.5
26/12/17 02:49:15 59.6
26/12/17 02:49:59 59.7
26/12/17 02:50:32 59.8
26/12/17 02:51:13 59.9
26/12/17 02:51:38 60
26/12/17 02:52:13 60.1
26/12/17 02:52:36 60.2
26/12/17 02:53:04 60.3
26/12/17 02:53:25 60.4
26/12/17 02:53:52 60.5
26/12/17 02:54:12 60.6
26/12/17 02:54:35 60.7
26/12/17 02:54:50 60.8
26/12/17 02:55:09 60.9
26/12/17 02:55:22 61
26/12/17 02:55:40 61.1
26/12/17 02:55:53 61.2
26/12/17 02:56:14 61.3
26/12/17 02:56:28 61.4
26/12/17 02:56:49 61.5
26/12/17 02:57:03 61.6
26/12/17 02:57:21 61.7
26/12/17 02:57:34 61.8
26/12/17 02:57:54 61.9
26/12/17 02:58:11 62
26/12/17 02:58:36 62.1
26/12/17 02:58:58 62.2
26/12/17 02:59:30 62.3
26/12/17 02:59:53 62.4
26/12/17 03:00:19 62.5
26/12/17 03:00:38 62.6
26/12/17 03:01:00 62.7
26/12/17 03:01:16 62.8
26/12/17 03:01:36 62.9
26/12/17 03:01:53 63
26/12/17 03:02:16 63.1
26/12/17 03:02:34 63.2
26/12/17 03:03:04 63.3
26/12/17 03:03:30 63.4
26/12/17 03:04:12 63.5
26/12/17 03:04:48 63.6
26/12/17 03:05:38 63.7
26/12/17 03:06:24 63.8
26/12/17 03:07:40 63.9
26/12/17 03:09:30 64
26/12/17 03:11:56 64.1
